installation_s3ic_id;Nom de l'installation;description;Type;date;georisques_id;lien PDF GéoRisques;ocrmyPDF_status;size;Particularité du fichier pour le test;OCR mistral;Arrêtify 0.1.0;Commentaire recette (avec OCR 0325);Commentaire recette (avec OCR 1225)
0005201506;LES DERIVES RESINIQUES ET TERPENIQUES;AP d'autorisation (extension);Arrêté préfectoral;07/06/2013;B/4/8aa100b1428f9a9201428fa0a7890004;https://georisques.gouv.fr/webappReport/ws/installations/document/8aa100b1428f9a9201428fa0a7890004;SUCCESS;330883241,0;Fichier volumineux contenant bcp d'images et de tableaux. La qualité du PDF est assez médiocre (un peu flou sur certaines pages);OK;OK;"Les niveaux de titre 1 n'ont pas été détecté (Titre 1, Titre 2…) Est-ce normal?
Un tableau n’a pas été retranscrit en intégralité (mauvaise qualité du PDF, un peu floue)";"Meilleure restitution des niveaux de titre.
Pas d'amélioration sur le rendu du tableau.
Les numérotations sont bien prises en compte"
0003900895;COMMUNAUTE D'AGGLOMERATION SEINE EURE;Recepisse_decl;Arrêté préfectoral;01/12/2017;H/e/8accf0a66012c450016012ddbc2b001e;https://georisques.gouv.fr/webappReport/ws/installations/document/8accf0a66012c450016012ddbc2b001e;ERROR;;"Fichier PDF déjà en format texte.
Erreur lors de l'OCR Python : Input PDF has a digital signature. OCR would alter the document,";OK;OK;RAS;
0005204961;ARKEMA Mourenx;APC n°4961/2019/29;Arrêté préfectoral;08/08/2019;B/1/8aa100b17c2b8961017c2c2be0a50031;https://georisques.gouv.fr/webappReport/ws/installations/document/8aa100b17c2b8961017c2c2be0a50031;ERROR;;Page 10 de l'AP sans contenu (on voit apparaître par transparence du contenu);OK;OK;RAS;
0006705563;DIAMETAL FRANCE SA;Annexe plan de situation;Arrêté préfectoral;29/03/2019;M/8/8ab90ca26a106fcb016a108b637b0008;https://georisques.gouv.fr/webappReport/ws/installations/document/8ab90ca26a106fcb016a108b637b0008;ERROR;;Fichier endommage, impossible à ouvrir dans Adobe Acrobat + erreur de l'OCR Python sur ce fichier 'Input file is an image, but the resolution (DPI) is not credible.  Estimate the resolution at which the image was scanned and specify it using --image-dpi.';OK;OK;"Impossible de vérifier le résultat car le fichier source PDF ne peut pas être ouvert.
Le résultat HTML d'arrêtify montre qu'il ne s'agit pas d'un AP (problème de classification du fchier dans Gun ?)";
0006801100;CM QUARTZ Sas;Annexe 3 - remise en état;AP d'autorisation;26/09/2024;T/L/f0G8JGjCzwfyLWCyjjAQOXzFG6yj5FZL;https://georisques.gouv.fr/webappReport/ws/installations/document/f0G8JGjCzwfyLWCyjjAQOXzFG6yj5FZL;ERROR;;"Uniquement des images dans le document. Il ne s'agit pas d'un AP (erreur d'affectation de catégorie dans Gun?).
Erreur de l'OCR Python sur la taille d'une image : 'Image size (3203683347 pixels) exceeds limit of 500000000 pixels, could be decompression bomb DOS attack.'";OK;OK;Fichier ne contenant que des images. Il ne s’agit pas d’un AP mais d’une Annexe à un AP qui a été catégorisé ‘AP d’autorisation’ dans Gun.;
0058503946;EARL ECLIPSE (D.R. Volailles);Annexes AP du 24 décemebre 2019;Arrêté préfectoral;26/12/2019;N/8/8aac03246f425aac016f4292ab0e0018;https://georisques.gouv.fr/webappReport/ws/installations/document/8aac03246f425aac016f4292ab0e0018;ERROR;;"Erreur de l'OCR  python :  'Ghostscript PDF/A rendering failed'

Scan de qualité médiocre avec des annotations au crayon. Le document commence par des annexes diverses (des images, des tableaux, des scans de contrat).";OK;OK;"Ce document a été typé Arrêté préfectoral dans Gun alors qu’il s’agit uniquement d’annexes. Il n’y a aucun arrêté dans ce document, à voir si Arrêtify est capable de détecter ce problème de catégorisation. Le fichier contient un document type contrat scanné, qui est découpé sous forme d’article comme un arrêté, donc Arrêtify sort quand même un fichier HTML découpé en article alors qu’il ne s’agit pas d’un arrêté préfectoral.
";
0006702300;SUEZ RV Nord-Est;Arrêté préfectoral concernant SITA ALSACE Hochfelden (CSDU) daté du 23/01/2012;Arrêté préfectoral;23/01/2012;M/1/52bbb18e3ccc44989b537974c540d711;https://georisques.gouv.fr/webappReport/ws/installations/document/52bbb18e3ccc44989b537974c540d711;SUCCESS;39828285,0;;OK;ERROR - Erreur lors du traitement de 52bbb18e3ccc44989b537974c540d711\52bbb18e3ccc44989b537974c540d711_MAI_2025_ocr.json: Invalid index 13 in table rendering. ;Les fusions de cellules dans les tableaux ne sont pas gérés. Sur certains tableaux cela peut poser des problèmes de lecture;"Arrêtify KO
D'après le markdown pas d'amélioration sur les tableaux"
0005701561;CSGV;Arrêté préfectoral concernant CSGV daté du 13/02/2014;Arrêté préfectoral;13/02/2014;M/2/8ab308a944bbb1fc0144bbe573a00012;https://georisques.gouv.fr/webappReport/ws/installations/document/8ab308a944bbb1fc0144bbe573a00012;SUCCESS;39800310,0;;OK;OK;Problème de rendu d’un tableau. Une partie du tableau n’a pas été retranscrite comme un tableau (problème peut être lié au fait que la ligne du tableau s’est retrouvée ‘isolée’ par un saut de page ?);
0006400578;SUEZ RV MEDITERRANEE;Arrêté préfectoral concernant SITA SUD daté du 16/06/2006;Arrêté préfectoral;16/06/2006;Z/9/36abc4f0ccf7402f9bb0095611023c69;https://georisques.gouv.fr/webappReport/ws/installations/document/36abc4f0ccf7402f9bb0095611023c69;SUCCESS;245356,0;;OK;OK;RAS à part la date de l'arrêté qui a été passée en rouge dans la signature.;
0007000869;SONOCO (Ex EVIOSYS PACKAGING FRANCE S.A.S.);Rejets atmosphériques;Arrêté préfectoral;11/07/2003;V/2/132b73899fc04fd4b3f9a175c3ad99f2;https://georisques.gouv.fr/webappReport/ws/installations/document/132b73899fc04fd4b3f9a175c3ad99f2;SUCCESS;245345,0;;OK;OK;"L’en-tête du fichier qui contenait du texte a intégralement été remplacée par une image
Certains tableaux ont été fusionnés";
